rx	ry	rz	vx	vy	vz	time	mass	ax	ay	bx	by	cx	cy	rw	rn	flags	ui
  5.580574 	 -0.731094 	  3.003280 	-3316.633789 	 -0.000000 	115613.632813 	  8.50 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.356796 	    1 	12287 	  128 	12545
  5.910215 	 -0.632863 	  3.000713 	-1174.049194 	 -0.000000 	115642.171875 	  8.19 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	124.418327 	    1 	12310 	  128 	12568
  5.726434 	 -0.585882 	  3.001202 	-1438.427490 	 -0.000000 	115545.468750 	  8.43 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	124.286758 	    1 	12321 	  128 	12579
  6.035957 	  2.967531 	  3.003918 	2805.500488 	 -0.000000 	115070.312500 	  8.36 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.396637 	    1 	13153 	  128 	13411
  5.617153 	  3.031595 	  3.002794 	-1128.972412 	 -0.000000 	115573.351563 	  8.62 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.440331 	    1 	13168 	  128 	13426
  5.667222 	  3.360457 	  3.002597 	-2413.224121 	 -0.000000 	115603.789063 	  8.45 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	123.804131 	    1 	13245 	  128 	13503
  5.742808 	 -0.944640 	  3.002994 	1301.071655 	 -0.000000 	115108.078125 	  8.62 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.647591 	    1 	14237 	  128 	14495
  5.600149 	 -0.769532 	  3.002910 	-1625.640381 	 -0.000000 	115840.773438 	  8.58 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	124.195999 	    1 	14278 	  128 	14536
  5.472464 	 -0.474838 	  3.003805 	-3271.934326 	 -0.000000 	116101.031250 	  8.70 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.385727 	    1 	14347 	  128 	14605
  5.675476 	  3.001699 	  3.003347 	-1463.270508 	 -0.000000 	116398.953125 	  8.47 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.279762 	    1 	15161 	  128 	15419
  5.907567 	  3.040137 	  3.002840 	504.709137 	 -0.000000 	115551.671875 	  8.34 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	125.250259 	    1 	15170 	  128 	15428
  5.875172 	  3.176807 	  3.003763 	-1628.827515 	 -0.000000 	115297.656250 	  8.24 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.190628 	    1 	15202 	  128 	15460
  5.831116 	  3.193891 	  3.001082 	1450.060791 	 -0.000000 	114714.687500 	  8.49 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	125.724213 	    1 	15206 	  128 	15464
  5.955790 	  3.339102 	  3.004383 	3552.067627 	 -0.000000 	114365.679688 	  8.46 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.778969 	    1 	15240 	  128 	15498
  5.953558 	 -0.970266 	  3.004499 	3470.516113 	 -0.000000 	114604.898438 	  8.52 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.734528 	    1 	16231 	  128 	16489
  5.750853 	 -0.671301 	  3.002033 	-3287.990479 	 -0.000000 	116190.671875 	  8.28 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.379066 	    1 	16301 	  128 	16559
  5.951492 	 -0.560257 	  3.002848 	1871.479370 	 -0.000000 	114711.710938 	  8.37 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.934677 	    1 	16327 	  128 	16585
  4.385579 	  2.929093 	  3.004751 	-571.574158 	 -0.000000 	122037.085938 	  9.10 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.731651 	    1 	17144 	  128 	17402
  6.028656 	  3.104201 	  3.001164 	548.361389 	 -0.000000 	115250.539063 	  8.17 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	125.272614 	    1 	17185 	  128 	17443
  5.616304 	  3.142639 	  3.004549 	-2741.371094 	 -0.000000 	116303.906250 	  8.47 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	123.649742 	    1 	17194 	  128 	17452
  5.882603 	  3.390353 	  3.002531 	221.612671 	 -0.000000 	115535.585938 	  8.32 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	125.109901 	    1 	17252 	  128 	17510
  6.007211 	 -0.658488 	  3.001301 	1310.405640 	 -0.000000 	115260.460938 	  8.24 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.651375 	    1 	18304 	  128 	18562
  5.884673 	 -0.534631 	  3.003625 	3993.403809 	 -0.000000 	114704.015625 	  8.62 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.993942 	    1 	18333 	  128 	18591
  5.724802 	  3.065763 	  3.000696 	-3399.731201 	 -0.000000 	116058.234375 	  8.34 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	123.322098 	    1 	19176 	  128 	19434
  6.007894 	  3.181078 	  3.003357 	1722.434814 	 -0.000000 	114816.828125 	  8.28 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	125.859467 	    1 	19203 	  128 	19461
  5.694867 	 -0.790887 	  3.000392 	-2884.243896 	 -0.000000 	115572.921875 	  8.42 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.570419 	    1 	20273 	  128 	20531
