rx	ry	rz	vx 	vy 	vz 	time 	mass	ax	ay	bx	by	cx	cy	rw	rn	flags	ui
  2.127097 	  4.094718 	  3.002774 	-4024.227539 	 -0.000000 	115912.117188 	  5.51 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	123.011612 	    1 	43872 	  128 	418863
 -1.889785 	  4.325344 	  3.003622 	-428.594391 	 -0.000000 	115098.765625 	 16.79 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.786652 	    1 	43899 	  128 	418890
  0.766077 	 -6.240770 	  3.002437 	2420.951660 	 -0.000000 	118598.031250 	 23.00 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.169418 	    1 	44662 	  128 	419653
  2.251924 	 -3.874712 	  3.002123 	-875.671692 	 -0.000000 	115289.148438 	  5.46 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	124.564819 	    1 	44939 	  128 	419930
  0.012802 	  8.237704 	  3.001824 	-3360.932617 	 -0.000000 	123057.976563 	 19.82 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.435539 	    1 	46357 	  128 	421348
  2.073485 	 -4.130964 	  3.004171 	2688.888672 	 -0.000000 	114496.039063 	  5.86 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.345322 	    1 	46909 	  128 	421900
 -1.505334 	 -0.022394 	  3.002918 	3709.066650 	 -0.000000 	111813.335938 	 37.41 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.899918 	    1 	49390 	  128 	424381
 -2.131239 	 -4.088255 	  3.003861 	2220.876221 	 -0.000000 	122069.359375 	  9.03 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.042297 	    1 	50914 	  128 	425905
 -1.803440 	 -3.695336 	  3.001558 	617.366333 	 -0.000000 	122542.695313 	  8.77 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.288651 	    1 	50960 	  128 	425951
  2.154362 	  0.003231 	  3.006276 	-871.615479 	 -0.000000 	97960.218750 	 15.60 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.490219 	    1 	51393 	  128 	426384
  2.005277 	  3.881174 	  3.003096 	-2861.903564 	 -0.000000 	115683.437500 	  5.74 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	123.582840 	    1 	51847 	  128 	426838
  4.235081 	 -6.215145 	  3.000507 	-4002.057373 	 -0.000000 	115507.734375 	 12.14 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.015640 	    1 	52665 	  128 	427656
 -2.156429 	 -3.797836 	  3.000548 	-3324.783203 	 -0.000000 	124546.976563 	  8.60 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.470848 	    1 	52948 	  128 	427939
  1.970017 	  4.060551 	  3.003884 	-1360.849365 	 -0.000000 	115574.523438 	  5.84 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.325394 	    1 	53868 	  128 	428859
  2.011278 	 -4.233464 	  3.000301 	-3264.003418 	 -0.000000 	115854.578125 	  5.77 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.386215 	    1 	54897 	  128 	429888
  2.111662 	 -4.148047 	  3.000243 	642.807617 	 -0.000000 	115171.468750 	  5.74 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.319778 	    1 	54907 	  128 	429898
 -2.011924 	  3.607839 	  3.002065 	2482.919922 	 -0.000000 	123360.273438 	  8.88 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.153061 	    1 	57815 	  128 	432806
  2.164620 	 -3.849087 	  3.000447 	-860.379578 	 -0.000000 	115391.703125 	  5.63 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	124.572800 	    1 	58942 	  128 	433933
  2.419079 	  3.821382 	  3.000700 	1155.223511 	 -0.000000 	115088.929688 	  5.35 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	125.575096 	    1 	59840 	  128 	434831
  2.195877 	  4.214302 	  3.000674 	2770.914551 	 -0.000000 	114851.593750 	  5.76 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.382050 	    1 	59886 	  128 	434877
 -4.076608 	 -8.273700 	  3.005999 	176.121964 	 -0.000000 	120462.835938 	 17.57 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.083771 	    1 	60424 	  128 	435415
  2.136728 	 -4.113880 	  3.002753 	-3308.023682 	 -0.000000 	115884.578125 	  5.57 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.364891 	    1 	60911 	  128 	435902
 -3.847387 	  8.459789 	  3.002175 	3930.517578 	 -0.000000 	120175.523438 	 17.23 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.873276 	    1 	62383 	  128 	437374
  2.052113 	 -4.148047 	  3.004577 	-3496.431641 	 -0.000000 	115592.281250 	  5.70 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.267448 	    1 	62907 	  128 	437898
  2.544472 	  0.045940 	  3.000940 	-3681.575439 	 -0.000000 	115766.945313 	  5.01 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	123.178513 	    1 	63398 	  128 	438389
 -0.190602 	 -0.056561 	  3.002986 	1743.532837 	 -0.000000 	117092.546875 	 10.71 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	125.853081 	    1 	65386 	  128 	440377
  2.371319 	  0.105732 	  3.005309 	1375.972900 	 -0.000000 	107439.078125 	 41.99 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	125.733749 	    1 	65405 	  128 	440396
  2.152511 	 -4.199298 	  3.000057 	-86.786079 	 -0.000000 	115342.546875 	  5.71 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	124.956886 	    1 	66901 	  128 	441892
  2.084562 	 -3.977213 	  3.001792 	-1272.791626 	 -0.000000 	115623.242188 	  5.72 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	124.369308 	    1 	66927 	  128 	441918
  2.196972 	  4.026384 	  3.001610 	1930.758545 	 -0.000000 	115038.406250 	  5.69 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	125.961540 	    1 	67864 	  128 	442855
  2.186651 	 -4.122422 	  3.001744 	-134.070450 	 -0.000000 	115536.781250 	  5.64 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	124.933510 	    1 	68910 	  128 	443901
  2.102573 	  4.060551 	  3.003920 	-228.370361 	 -0.000000 	115405.640625 	  5.75 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.886620 	    1 	69868 	  128 	444859
 -3.983818 	 -8.384743 	  3.001358 	1153.733032 	 -0.000000 	122667.218750 	 22.34 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.538872 	    1 	70411 	  128 	445402
  2.149832 	  4.017842 	  3.000445 	-768.471619 	 -0.000000 	115479.625000 	  5.67 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.618721 	    1 	73863 	  128 	448854
  2.210160 	 -0.295729 	  3.002033 	2220.860107 	 -0.000000 	114897.039063 	  5.88 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.107338 	    1 	75358 	  128 	450349
 -2.330018 	 -0.218854 	  3.005917 	-2746.906738 	 -0.000000 	114371.539063 	 18.39 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	123.624168 	    1 	75367 	  128 	450358
  2.256673 	  3.898258 	  3.001709 	2065.734375 	 -0.000000 	115033.843750 	  5.64 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.028786 	    1 	75849 	  128 	450840
  0.342758 	  6.734360 	  3.004819 	-3951.105957 	 -0.000000 	130503.570313 	 25.72 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.265854 	    1 	76181 	  128 	451172
  2.617637 	  0.063023 	  3.002738 	2703.261475 	 -0.000000 	114943.226563 	  5.16 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.347244 	    1 	77400 	  128 	452391
  2.012336 	  4.137426 	  3.002289 	3068.219482 	 -0.000000 	114571.945313 	  6.05 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.534004 	    1 	77877 	  128 	452868
  0.077786 	 -8.248075 	  3.003810 	-1987.732544 	 -0.000000 	122600.359375 	 19.97 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	124.071136 	    1 	78427 	  128 	453418
  0.926146 	 -6.642231 	  3.001449 	-2293.275391 	 -0.000000 	118370.914063 	 24.09 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.890114 	    1 	78615 	  128 	453606
  0.425766 	  6.238940 	  3.000423 	-3043.650635 	 -0.000000 	120091.375000 	 23.03 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.548180 	    1 	80123 	  128 	455114
  1.812588 	 -4.054088 	  3.004401 	-3993.469482 	 -0.000000 	115715.156250 	  6.04 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.023438 	    1 	80918 	  128 	455909
  2.205238 	  4.137426 	  3.001528 	2893.326416 	 -0.000000 	114828.531250 	  5.78 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.443375 	    1 	81877 	  128 	456868
